id,category,name,aliases,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,trans_fat_g
D3100201,水果類,珍珠蜜棗,"棗子,棗仔",42.3057,1.112,0.0125,0.007,11.6811,2.242,10.432,0.7215,0.0
D3100301,水果類,國產紅棗,紅棗,81.0158,0.908,0.1305,0.0827,23.0992,3.9278,16.139,1.2248,0.0
D3100401,水果類,紅棗(乾),"大棗,棗仔",215.1596,3.173,0.3,,59.5078,7.6505,,9.65,
D3100402,水果類,黑棗(乾),"大棗,棗仔",212.7789,2.71,0.19,,60.9404,10.814,,2.89,
D32001,水果類,蘋果平均值(青皮),"柰,林檎",47.1655,0.2979,0.2191,0.1138,13.0928,1.7519,10.663,1.6259,0.0
D3200101,水果類,青龍蘋果,"柰,林檎,青蘋果",51.0181,0.265,0.29,0.1936,14.0307,1.7563,11.679,0.62,0.0
D3200102,水果類,翠玉青蘋果,"柰,林檎,青蘋果(翡翠,青玉,史蜜斯)",43.3129,0.3307,0.1482,0.055,12.1548,1.7475,9.647,2.6318,
D3200201,水果類,翠玉青蘋果(帶皮),"柰,林檎,青蘋果(翡翠,青玉,史蜜斯)",50.0197,0.371,0.2285,0.0575,14.053,2.3314,10.135,5.057,
D3200301,水果類,美國五爪蘋果,"柰,林檎,紅蘋果(元帥)",48.0962,0.1545,0.068,,13.7783,1.6212,,2.2349,
D32004,水果類,蘋果平均值(混色),"柰,林檎",49.2574,0.2123,0.095,0.0304,13.8587,1.3388,11.0585,1.1926,
D3200401,水果類,加拉蘋果,"柰,林檎",52.6628,0.193,0.063,,14.9611,1.4831,,0.3405,
D3200402,水果類,津輕蜜蘋果,"柰,林檎",54.1528,0.198,0.1679,,15.076,1.3696,11.73,0.552,
D3200403,水果類,秋香蘋果,"柰,林檎",43.389,0.265,0.0217,,12.296,1.2179,,0.4479,
D3200404,水果類,富士蘋果,"柰,林檎",46.8251,0.193,0.1273,0.0408,13.1017,1.2844,10.387,3.4298,
D3200501,水果類,富士蘋果(帶皮),"柰,林檎",42.1929,0.226,0.1469,0.006,11.922,1.697,9.401,3.43,
D3200601,水果類,金冠蘋果,"柰,林檎,黃蘋果(黃元帥)",46.4142,0.36,0.1025,,12.9688,1.4631,,0.0,
D3300101,水果類,櫻桃,"中國櫻桃又稱鶯桃,荊桃",72.7777,1.2155,0.2603,,19.0748,1.3465,,2.2269,
D3300201,水果類,白櫻桃,"中國櫻桃又稱鶯桃,荊桃",67.6822,0.702,0.0975,,18.3941,1.0696,,0.5416,
D3400101,水果類,椪柑,"橘子,蘆柑,壼柑,凸柑,乳柑,潮州柑",37.7962,0.804,0.1548,0.0421,10.0426,1.4714,6.84,1.6891,
D3400201,水果類,紅柑,"美人(女)柑,明尼吉柚,葡萄蜜柑,迷你葡萄柚",40.2484,0.845,0.1119,0.0266,10.5623,0.9698,6.899,0.717,
D3400202,水果類,茂谷柑,茂谷,42.2649,0.595,0.1223,0.0389,11.4914,1.3294,9.527,0.6009,
D3400203,水果類,海梨桶柑,"年柑,草山柑,焦柑,蜜桶,漳柑,草山桔(海梨)",40.6287,0.8645,0.15,,11.0184,1.9986,,6.2029,
D3400204,水果類,高牆桶柑,"年柑,草山柑,焦柑,蜜桶,漳柑,草山桔(桶柑)",42.8348,0.771,0.0,,11.8211,1.4448,,0.8032,
D3400205,水果類,檸檬柑,"三寶柑,甜檸檬",45.187,1.108,0.0809,0.0,12.1847,1.9237,8.1052,1.003,
D3400206,水果類,砂糖橘,"十月桔,沙糖桔,沙糖橘,砂糖桔",47.1127,0.652,0.28,0.0799,12.5916,1.7196,9.286,2.69,0.0
D3400301,水果類,長果金柑,"金棗,羅浮柑",50.3448,0.96,0.1947,0.065,14.0803,3.2497,9.792,4.9506,
D3400302,水果類,圓果金柑,"金桔,金橘,桔子",28.0568,0.7,0.24,,7.56,2.2,,4.0,
D3400303,水果類,圓果金柑汁(綠皮),"金桔,金橘,桔子",30.1513,0.891,0.0725,0.0318,7.9832,1.368,1.38,1.3305,0.0
D3500101,水果類,文旦,"柚子,內紫,朱欒,香欒,座凡,拋,欒",32.1231,0.685,0.0655,,8.7691,1.4347,,0.4824,
D3500102,水果類,文旦(2023年取樣),"麻豆文旦,文旦柚",46.379,0.574,0.03,0.0146,12.6765,0.8976,9.969,0.781,0.0
D3500201,水果類,白柚,"柚子,內紫,朱欒,香欒,座凡,拋,欒",35.5162,0.5755,0.1013,0.0678,9.6199,1.1856,8.093,7.1127,0.0
